Comment,Designator,Footprint,LCSC
GZ2012D601TF,FB401,L_0805_2012Metric,C1017
BL24C256A-SFRC,U1,TSSOP-8_4.4x3mm_P0.65mm,C110276
100k,"R201,R202",R_0805_2012Metric,C149504
AO3401A,Q1,SOT-23,C15127
10n,"C203,C7",C_0402_1005Metric,C15195
100n,"C1,C10,C2,C3,C302,C4",C_0402_1005Metric,C1525
10u,C301,C_0402_1005Metric,C15525
TYPE-C-31-M12,J401,USB_C_Receptacle_Hroparts_TYPE-C-31-M-12,C165948
10k,"R308,R6",R_0805_2012Metric,C17414
2k,"R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119,R120,R121,R122,R123,R124,R125,R126,R127,R128,R129,R130,R131,R132,R133,R134,R135,R136,R137,R138,R139,R140,R141,R142,R143,R144,R145,R146,R147,R148,R149,R150,R151,R152,R153,R154,R155,R156,R157,R158,R159,R160,R161,R162,R163,R164,R165,R166,R167,R168,R169,R170,R171,R172,R173,R174,R175,R176,R177",R_0805_2012Metric,C17604
470,R7,R_0805_2012Metric,C17710
SGM2007-3.3XN5/TR,U201,SOT-23-5,C193687
4.7u,C11,C_0402_1005Metric,C23733
100R,"R304,R305,R306",R_0402_1005Metric,C25076
10k,"R303,R307",R_0402_1005Metric,C25744
330k,R301,R_0402_1005Metric,C25778
4.7k,"R1,R2",R_0402_1005Metric,C25900
5.1k,"R401,R402",R_0402_1005Metric,C25905
1M,R302,R_0402_1005Metric,C26083
USBLC6-2SC6,U3,SOT-23-6,C2827654
1u,"C201,C202",C_0805_2012Metric,C28323
7325-0800A2010-00,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C389817
16p,"C8,C9",C_0402_1005Metric,C48836
1u,C6,C_0402_1005Metric,C52923
JOKER MCU,U2,STM_UFQFPN-48_LQFP-48-1EP_7x7mm_P0.5mm_HandSoldering_ThermalReliefs,C60420
nSMD100-16V,F201,Fuse_1206_3216Metric,C70082
10u,C5,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,C7171
1N4148W,"D301,D_101,D_102,D_103,D_104,D_105,D_106,D_107,D_108,D_109,D_110,D_111,D_112,D_113,D_114,D_115,D_116,D_117,D_118,D_119,D_120,D_121,D_122,D_123,D_124,D_125,D_126,D_127,D_128,D_129,D_130,D_131,D_132,D_133,D_134,D_135,D_136,D_137,D_138,D_139,D_140,D_141,D_142,D_143,D_144,D_145,D_146,D_147,D_148,D_149,D_150,D_151,D_152,D_153,D_154,D_155,D_156,D_157,D_158,D_159,D_160,D_161,D_162,D_163,D_164,D_165,D_166,D_167,D_168,D_169,D_170,D_171,D_172,D_173,D_174,D_175,D_176,D_177",D_SOD-123,C81598
2N7002,"Q301,Q302",SOT-23,C8545
B5819W-SL,D201,D_SOD-123,C8598
K2-1187SQ-A4SW-06,SW301,K2-1187SQ-A4SW-06,C92584
