Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,279.09854,-51.586117,180.0,top
C2,100n,C_0402_1005Metric,286.948512,-61.536116,180.0,top
C3,100n,C_0402_1005Metric,285.648512,-58.936116,180.0,top
C4,100n,C_0402_1005Metric,288.448512,-48.936116,-90.0,top
C5,10u,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,285.248512,-45.036116,90.0,top
C6,1u,C_0402_1005Metric,298.348512,-62.016116,-90.0,top
C7,10n,C_0402_1005Metric,296.848512,-62.016116,-90.0,top
C8,16p,C_0402_1005Metric,295.248512,-63.266116,-90.0,top
C9,16p,C_0402_1005Metric,289.048512,-64.786116,-90.0,top
C10,100n,C_0402_1005Metric,297.678511,-50.586117,180.0,top
C11,4.7u,C_0402_1005Metric,299.09854,-52.386117,180.0,top
C201,1u,C_0805_2012Metric,284.416777,-41.512422,0.0,top
C202,1u,C_0805_2012Metric,272.665127,-38.615008,90.0,top
C203,10n,C_0402_1005Metric,274.629433,-39.715008,0.0,top
C301,10u,C_0402_1005Metric,212.908809,-151.773208,-90.0,top
C302,100n,C_0402_1005Metric,204.142774,-144.590071,0.0,top
D201,B5819W-SL,D_SOD-123,281.180547,-39.165008,-90.0,top
D301,1N4148W,D_SOD-123,220.013968,-151.293208,0.0,top
D_101,D,D_SOD-123,303.688512,-53.715,90.0,top
D_102,D,D_SOD-123,265.588512,-53.715,90.0,top
D_103,D,D_SOD-123,246.543512,-53.715,90.0,top
D_104,D,D_SOD-123,227.488512,-53.715,90.0,top
D_105,D,D_SOD-123,208.438512,-53.715,90.0,top
D_106,D,D_SOD-123,179.863512,-53.715,90.0,top
D_107,D,D_SOD-123,160.813512,-53.715,90.0,top
D_108,D,D_SOD-123,141.763512,-53.715,90.0,top
D_109,D,D_SOD-123,122.713512,-53.715,90.0,top
D_110,D,D_SOD-123,94.138512,-53.715,90.0,top
D_111,D,D_SOD-123,75.088512,-53.715,90.0,top
D_112,D,D_SOD-123,56.038512,-53.715,90.0,top
D_113,D,D_SOD-123,36.988512,-53.715,90.0,top
D_114,D,D_SOD-123,303.688512,-77.5275,90.0,top
D_115,D,D_SOD-123,284.638512,-77.5275,90.0,top
D_116,D,D_SOD-123,265.588512,-77.5275,90.0,top
D_117,D,D_SOD-123,246.538512,-77.5275,90.0,top
D_118,D,D_SOD-123,227.488512,-77.5275,90.0,top
D_119,D,D_SOD-123,208.438512,-77.5275,90.0,top
D_120,D,D_SOD-123,189.388512,-77.5275,90.0,top
D_121,D,D_SOD-123,170.338512,-77.5275,90.0,top
D_122,D,D_SOD-123,151.288512,-77.5275,90.0,top
D_123,D,D_SOD-123,132.238512,-77.5275,90.0,top
D_124,D,D_SOD-123,113.188512,-77.5275,90.0,top
D_125,D,D_SOD-123,94.138512,-77.5275,90.0,top
D_126,D,D_SOD-123,75.088512,-77.5275,90.0,top
D_127,D,D_SOD-123,46.513512,-77.5275,90.0,top
D_128,D,D_SOD-123,298.926012,-96.5775,90.0,top
D_129,D,D_SOD-123,275.113512,-96.5775,90.0,top
D_130,D,D_SOD-123,256.063512,-96.5775,90.0,top
D_131,D,D_SOD-123,237.013512,-96.5775,90.0,top
D_132,D,D_SOD-123,217.963512,-96.5775,90.0,top
D_133,D,D_SOD-123,198.913512,-96.5775,90.0,top
D_134,D,D_SOD-123,179.863512,-96.5775,90.0,top
D_135,D,D_SOD-123,160.813512,-96.5775,90.0,top
D_136,D,D_SOD-123,141.763512,-96.5775,90.0,top
D_137,D,D_SOD-123,122.713512,-96.5775,90.0,top
D_138,D,D_SOD-123,103.663512,-96.5775,90.0,top
D_139,D,D_SOD-123,84.613512,-96.5775,90.0,top
D_140,D,D_SOD-123,65.563512,-96.5775,90.0,top
D_141,D,D_SOD-123,39.369762,-106.1025,90.0,top
D_142,D,D_SOD-123,296.544762,-115.6275,90.0,top
D_143,D,D_SOD-123,270.351012,-115.6275,90.0,top
D_144,D,D_SOD-123,251.301012,-115.6275,90.0,top
D_145,D,D_SOD-123,232.251012,-115.6275,90.0,top
D_146,D,D_SOD-123,213.201012,-115.6275,90.0,top
D_147,D,D_SOD-123,194.151012,-115.6275,90.0,top
D_148,D,D_SOD-123,175.101012,-115.6275,90.0,top
D_149,D,D_SOD-123,156.051012,-115.6275,90.0,top
D_150,D,D_SOD-123,137.001012,-115.6275,90.0,top
D_151,D,D_SOD-123,117.951012,-115.6275,90.0,top
D_152,D,D_SOD-123,98.901012,-115.6275,90.0,top
D_153,D,D_SOD-123,79.851012,-115.6275,90.0,top
D_154,D,D_SOD-123,60.801012,-115.6275,90.0,top
D_155,D,D_SOD-123,301.307262,-134.6775,90.0,top
D_156,D,D_SOD-123,279.876012,-134.6775,90.0,top
D_157,D,D_SOD-123,260.826012,-134.6775,90.0,top
D_158,D,D_SOD-123,241.776012,-134.6775,90.0,top
D_159,D,D_SOD-123,222.726012,-134.6775,90.0,top
D_160,D,D_SOD-123,203.676012,-134.6775,90.0,top
D_161,D,D_SOD-123,184.626012,-134.6775,90.0,top
D_162,D,D_SOD-123,165.576012,-134.6775,90.0,top
D_163,D,D_SOD-123,146.526012,-134.6775,90.0,top
D_164,D,D_SOD-123,127.476012,-134.6775,90.0,top
D_165,D,D_SOD-123,108.426012,-134.6775,90.0,top
D_166,D,D_SOD-123,89.376012,-134.6775,90.0,top
D_167,D,D_SOD-123,70.326012,-134.6775,90.0,top
D_168,D,D_SOD-123,51.276012,-134.6775,90.0,top
D_169,D,D_SOD-123,301.307262,-153.7275,90.0,top
D_170,D,D_SOD-123,277.494762,-153.7275,90.0,top
D_171,D,D_SOD-123,253.682262,-153.7275,90.0,top
D_172,D,D_SOD-123,182.244762,-153.7275,90.0,top
D_173,D,D_SOD-123,110.807262,-153.7275,90.0,top
D_174,D,D_SOD-123,89.376012,-153.7275,90.0,top
D_175,D,D_SOD-123,70.326012,-153.7275,90.0,top
D_176,D,D_SOD-123,51.276012,-153.7275,90.0,top
D_177,D,D_SOD-123,32.226012,-153.7275,90.0,top
F201,nSMD100-16V,Fuse_1206_3216Metric,284.904277,-37.415008,0.0,top
FB401,GZ2012D601TF,L_0805_2012Metric,299.251469,-37.25991,180.0,top
J401,TYPE-C-31-M12,USB_C_Receptacle_Hroparts_TYPE-C-31-M-12,291.448512,-32.367354,180.0,top
Q1,AO3401A,SOT-23,310.362463,-39.421183,0.0,top
Q301,2N7002,SOT-23,205.585165,-154.256332,0.0,top
